gender,discipline,result,score
Man,2 Miles Short Track,7:54.12,1351
Man,5000 Metres,12:22.63,1351
Man,5000 Metres Short Track,12:37.45,1351
Man,10000 Metres,25:44.30,1351
Man,3000 Metres,7:13.00,1350
Man,3000 Metres Short Track,7:17.23,1350
Man,2 Miles,7:46.58,1350
Man,2 Miles Short Track,7:54.28,1350
Man,5000 Metres,12:22.89,1350
Man,5000 Metres Short Track,12:37.71,1350
Man,10000 Metres,25:44.90,1350
Man,3000 Metres,7:13.15,1349
Man,3000 Metres Short Track,7:17.38,1349
Man,2 Miles,7:46.74,1349
Man,2 Miles Short Track,7:54.44,1349
Man,5000 Metres,12:23.14,1349
Man,5000 Metres Short Track,12:37.96,1349
Man,10000 Metres,25:45.49,1349
Man,3000 Metres,7:13.30,1348
Man,3000 Metres Short Track,7:17.53,1348
Man,2 Miles,7:46.90,1348
Man,2 Miles Short Track,7:54.60,1348
Man,5000 Metres,12:23.40,1348
Man,5000 Metres Short Track,12:38.21,1348
Man,10000 Metres,25:46.09,1348
Man,3000 Metres,7:13.45,1347
Man,3000 Metres Short Track,7:17.68,1347
Man,2 Miles,7:47.07,1347
Man,2 Miles Short Track,7:54.76,1347
Man,5000 Metres,12:23.66,1347
Man,5000 Metres Short Track,12:38.47,1347
Man,10000 Metres,25:46.68,1347
Man,3000 Metres,7:13.60,1346
Man,3000 Metres Short Track,7:17.83,1346
Man,2 Miles,7:47.23,1346
Man,2 Miles Short Track,7:54.92,1346
Man,5000 Metres,12:23.92,1346
Man,5000 Metres Short Track,12:38.72,1346
Man,10000 Metres,25:47.28,1346
Man,3000 Metres,7:13.76,1345
Man,3000 Metres Short Track,7:17.98,1345
Man,2 Miles,7:47.39,1345
Man,2 Miles Short Track,7:55.08,1345
Man,5000 Metres,12:24.18,1345
Man,5000 Metres Short Track,12:38.97,1345
Man,10000 Metres,25:47.87,1345
Man,3000 Metres,7:13.91,1344
Man,3000 Metres Short Track,7:18.12,1344
Man,2 Miles,7:47.55,1344
Man,2 Miles Short Track,7:55.25,1344
Man,5000 Metres,12:24.44,1344
Man,5000 Metres Short Track,12:39.22,1344
Man,10000 Metres,25:48.47,1344
Man,3000 Metres,7:14.06,1343
Man,3000 Metres Short Track,7:18.27,1343
Man,2 Miles,7:47.72,1343
Man,2 Miles Short Track,7:55.41,1343
Man,5000 Metres,12:24.70,1343
Man,5000 Metres Short Track,12:39.48,1343
Man,10000 Metres,25:49.06,1343
Man,3000 Metres,7:14.21,1342
Man,3000 Metres Short Track,7:18.42,1342
Man,2 Miles,7:47.88,1342
Man,2 Miles Short Track,7:55.57,1342
Man,5000 Metres,12:24.95,1342
Man,5000 Metres Short Track,12:39.73,1342
Man,10000 Metres,25:49.66,1342
Man,3000 Metres,7:14.36,1341
Man,3000 Metres Short Track,7:18.57,1341
Man,2 Miles,7:48.04,1341
Man,2 Miles Short Track,7:55.73,1341
Man,5000 Metres,12:25.21,1341
Man,5000 Metres Short Track,12:39.98,1341
Man,10000 Metres,25:50.26,1341
Man,3000 Metres,7:14.51,1340
Man,3000 Metres Short Track,7:18.72,1340
Man,2 Miles,7:48.20,1340
Man,2 Miles Short Track,7:55.89,1340
Man,5000 Metres,12:25.47,1340
Man,5000 Metres Short Track,12:40.24,1340
Man,10000 Metres,25:50.85,1340
Man,3000 Metres,7:14.66,1339
Man,3000 Metres Short Track,7:18.87,1339
Man,2 Miles,7:48.37,1339
Man,2 Miles Short Track,7:56.05,1339
Man,5000 Metres,12:25.73,1339
Man,5000 Metres Short Track,12:40.49,1339
Man,10000 Metres,25:51.45,1339
Man,3000 Metres,7:14.81,1338
Man,3000 Metres Short Track,7:19.02,1338
Man,2 Miles,7:48.53,1338
Man,2 Miles Short Track,7:56.21,1338
Man,5000 Metres,12:25.99,1338
Man,5000 Metres Short Track,12:40.75,1338
Man,10000 Metres,25:52.05,1338
Man,3000 Metres,7:14.97,1337
Man,3000 Metres Short Track,7:19.17,1337
Man,2 Miles,7:48.69,1337
Man,2 Miles Short Track,7:56.37,1337
Man,5000 Metres,12:26.25,1337
Man,5000 Metres Short Track,12:41.00,1337
Man,10000 Metres,25:52.65,1337
Man,3000 Metres,7:15.12,1336
Man,3000 Metres Short Track,7:19.32,1336
Man,2 Miles,7:48.86,1336
Man,2 Miles Short Track,7:56.53,1336
Man,5000 Metres,12:26.51,1336
Man,5000 Metres Short Track,12:41.25,1336
Man,10000 Metres,25:53.24,1336
Man,3000 Metres,7:15.27,1335
Man,3000 Metres Short Track,7:19.47,1335
Man,2 Miles,7:49.02,1335
Man,2 Miles Short Track,7:56.69,1335
Man,5000 Metres,12:26.77,1335
Man,5000 Metres Short Track,12:41.51,1335
Man,10000 Metres,25:53.84,1335
Man,3000 Metres,7:15.42,1334
Man,3000 Metres Short Track,7:19.62,1334
Man,2 Miles,7:49.18,1334
Man,2 Miles Short Track,7:56.85,1334
Man,5000 Metres,12:27.03,1334
Man,5000 Metres Short Track,12:41.76,1334
Man,10000 Metres,25:54.44,1334
Man,3000 Metres,7:15.57,1333
Man,3000 Metres Short Track,7:19.77,1333
Man,2 Miles,7:49.35,1333
Man,2 Miles Short Track,7:57.02,1333
Man,5000 Metres,12:27.29,1333
Man,5000 Metres Short Track,12:42.02,1333
Man,10000 Metres,25:55.04,1333
Man,3000 Metres,7:15.72,1332
Man,3000 Metres Short Track,7:19.92,1332
Man,2 Miles,7:49.51,1332
Man,2 Miles Short Track,7:57.18,1332
Man,5000 Metres,12:27.55,1332
Man,5000 Metres Short Track,12:42.27,1332
Man,10000 Metres,25:55.63,1332
Man,3000 Metres,7:15.88,1331
Man,3000 Metres Short Track,7:20.07,1331
Man,2 Miles,7:49.67,1331
Man,2 Miles Short Track,7:57.34,1331
Man,5000 Metres,12:27.81,1331
Man,5000 Metres Short Track,12:42.53,1331
Man,10000 Metres,25:56.23,1331
Man,3000 Metres,7:16.03,1330
Man,3000 Metres Short Track,7:20.22,1330
Man,2 Miles,7:49.84,1330
Man,2 Miles Short Track,7:57.50,1330
Man,5000 Metres,12:28.07,1330
Man,5000 Metres Short Track,12:42.78,1330
Man,10000 Metres,25:56.83,1330
Man,3000 Metres,7:16.18,1329
